id,IATA,en-GB,latitude,longitude,vibes
128668243,AAA,Anaa (AAA),-17.35542961176671,-145.50941496626925,null
129052440,AAB,Arrabury (AAB),-26.7,141.041667,null
154088928,AAD,Adado (AAD),6.095833,46.6375,null
128667593,AAE,Annaba (AAE),36.821667,7.81,null
129057725,AAF,Apalachicola (AAF),29.72938,-85.0288,null
129053851,AAG,Arapoti (AAG),-24.103611,-49.79,null
129057414,AAH,Aachen / Merzbruck (AAH),50.75,6.133333,null
129052979,AAI,Arraias (AAI),-12.916667,-46.933333,null
129056817,AAJ,Awaradam (AAJ),3.9,-55.366667,null
129054485,AAK,Aranuka (AAK),0.166667,173.583333,null
95673990,AAL,Aalborg (AAL),57.093056,9.85,null
129055248,AAM,Mala Mala (AAM),-24.8,31.533333,null
128667537,AAN,Al Ain (AAN),24.25,55.75,null
129056450,AAO,Anaco (AAO),9.431944,-64.463889,null
200615313,AAP,AP Tumenggung Pranoto (AAP),-0.373611,117.255556,null
114117387,AAQ,Anapa (AAQ),45.002097,37.347272,null
95673987,AAR,Aarhus (AAR),56.310278,10.618056,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129053028,AAS,Apalapsili (AAS),-3.916667,139.25,null
128668242,AAT,Altay (AAT),47.75223,88.08738,null
129056449,AAU,Asau (AAU),-13.458333,-172.6,null
129052414,AAV,Alah (AAV),6.333333,124.766667,null
129054813,AAW,Abbottabad (AAW),34.2,73.25,null
95673908,AAX,Araxa (AAX),-19.568056,-46.929167,null
128668193,AAY,Al Ghaydah (AAY),16.2,52.183333,null
129057724,AAZ,Quetzaltenango (AAZ),14.865556,-91.501944,null
128668315,ABA,Abakan (ABA),53.716667,91.5,null
128668194,ABB,Asaba International (ABB),6.195168,6.729126,null
129057413,ABC,Albacete (ABC),38.948333,-1.863333,null
128668050,ABD,Abadan (ABD),30.366667,48.233333,null
95566291,ABE,Allentown (ABE),40.654722,-75.438333,null
129052978,ABF,Abaiang (ABF),1.799150274715055,173.03934681636522,null
129056816,ABG,Abingdon (ABG),-17.666667,143.2,null
129054484,ABH,Alpha (ABH),-23.65,146.633333,null
95674197,ABI,Abilene Municipal (ABI),32.409444,-99.679722,null
99539624,ABJ,Abidjan (ABJ),5.256389,-3.926944,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129053027,ABK,Kabri Dar (ABK),6.733889,44.266111,null
128668475,ABL,Ambler (ABL),67.0875,-157.845833,null
128668196,ABM,Bamaga (ABM),-10.866667,142.4,null
129056448,ABN,Albina (ABN),5.5,-54.083333,null
129055247,ABO,Aboisso (ABO),5.433333,-3.216667,null
129052413,ABP,Atkamba (ABP),-6.066667,141.1,null
128667331,ABQ,Albuquerque (ABQ),35.042084,-106.609268,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
128668197,ABR,Aberdeen (ABR),45.4525,-98.426111,null
128667592,ABS,Abu Simbel (ABS),22.372222,31.615278,null
128667536,ABT,Al-Baha (ABT),20.296111,41.634167,null
128668474,ABU,Atambua (ABU),-9.133333,124.883333,null
128668198,ABV,Abuja (ABV),9,7.266667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129055881,ABW,Abau (ABW),-10.183333,148.7,null
128668314,ABX,Albury (ABX),-36.068333,146.976667,null
95674281,ABY,Albany Dougherty County (ABY),31.532222,-84.196111,null
95674056,ABZ,Aberdeen (ABZ),57.204167,-2.198056,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
95673649,ACA,Acapulco (ACA),16.755556,-99.766944,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129054812,ACB,Bellaire (ACB),44.983333,-85.216667,null
128667421,ACC,Accra (ACC),5.595278,-0.170833,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
128668049,ACD,Acandi (ACD),8.516667,-77.3,null
95673311,ACE,Lanzarote (ACE),28.9502502,-13.6057447,null
216756567,ACF,Alaer Talimu (ACF),40.43,81.27,null
128668188,ACH,St Gallen Altenrhein (ACH),47.4833,9.5667,null
128668200,ACI,Alderney (ACI),49.706944,-2.215278,null
129057412,ACJ,Anuradhapura (ACJ),8.35,80.383333,null
95674068,ACK,Nantucket (ACK),41.256667,-70.059722,null
129052977,ACL,Aguaclara (ACL),4.75,-73,null
129055882,ACM,Arica (ACM),-2,-71.833333,null
129053849,ACN,Ciudad Acuna (ACN),29.3329,-101.099,null
218378907,ACO,Cobano (ACO),9.691961823199776,-85.09660829022813,null
128667330,ACP,Sahand (ACP),37.354444,46.149722,null
128668201,ACR,Araracuara (ACR),-0.601104,-72.398014,null
129054981,ACS,Achinsk (ACS),56.266667,90.566667,null
95674183,ACT,Waco Municipal (ACT),31.607778,-97.230278,null
129052987,ACU,Achutupo (ACU),9.190904,-77.993778,null
128667591,ACV,Arcata (ACV),40.979167,-124.1075,null
128668202,ACX,Xingyi (ACX),25.085556,104.959444,null
104120227,ACY,Atlantic City International (ACY),39.45,-74.583333,null
128668473,ACZ,Zabol (ACZ),31.085833,61.535,null
128667332,ADA,Adana (ADA),36.983611,35.280833,null
95673399,ADB,Izmir (ADB),38.283333,27.15,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129054483,ADC,Andakombe (ADC),-7.133333,145.733333,null
128668203,ADD,Addis Ababa (ADD),8.977778,38.798056,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""1""}"
95673713,ADE,Aden (ADE),12.827778,45.030556,null
128668313,ADF,Adiyaman (ADF),37.731369,38.468936,null
129055246,ADG,Adrian (ADG),41.86921,-84.07467,null
129055890,ADH,Aldan (ADH),58.6,125.4,null
129053026,ADI,Arandis (ADI),-22.4,15,null
129051955,ADJ,Amman Civil - Marka (ADJ),31.95,35.983333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
128668204,ADK,Adak Island (ADK),51.882778,-176.644722,null
